,note,group
1144,Brazilian spices,spicy
1145,Thistle,green
1146,Syringa,white_floral
1147,White mimosa,floral
1148,Brazil nut,fruit
1149,White rum,beverage
1150,Juniper berries,fruit
1151,Coumarin,synthetic
1152,Chutney,spicy
1153,Dragon blood resin,balsamic
1154,Lime,citrus
1155,Sichuan pepper,spicy
1156,Plum wood,woody
1157,Bitter orange blossom,white_floral
1158,Black freesia,floral
1159, Cupuassu,fruit
1160,Meadowsweet,floral
1161,Ambertonic,animal
1162,Opoponax,balsamic
1163,Indian white pepper,spicy
1164,Clover,floral
1165,Flax,floral
1166,Head space waterfall,synthetic
1167,Litsea cubeba,citrus
1168,Ceylon cinnamon,spicy
1169,Black gardenia,floral
1170,Lantana leaves,green
1171,Bourbon geranium,floral
1172,Blood orange,citrus
1173,Yarrow,green
1174,Galbanum,green
1175,Chinotto blossom,floral
1176,Borneol,green
1177,Tuscan cypress,woody
1178,Neroli essence,white_floral
1179,Matcha tea,green
1180,Green accord,green
1181,Mint,green
1182,Macadamia,fruit
1183,Methyl pamplemousse,citrus
1184,Moroccan jasmine,white_floral
1185,Violet leaves,green
1186,Ylang-ylang,floral
1187,Water jasmine,white_floral
1188,Argentinian lemon,citrus
1189,Lotus petals,floral
1190,Tahitian vanilla,spicy
1191,White amber,animal
1192,White rose,floral
1193,Mimosa petals,floral
1194,Japanese green tea,green
1195,Hawaiian jasmine,white_floral
1196,Dulce de leche,sweet
1197,Roasted coffee beans,spicy
1198,Baie rose,floral
1199,Silk vine or milk broom,green
1200,French violet,floral
1201,Coconut nectar,beverage
1202,Marzipan,sweet
1203,Black currant leaf,green
1204,Sapodilla,fruit
1205,Star apple,fruit
1206,Diamond orchid,floral
1207,Pink hyacinth,floral
1208,Italian jasmine,white_floral
1209,Red currant leaf,fruit
1210,Bourbon whiskey,beverage
1211,Artemisia,green
1212,Palmarosa,green
1213,Vermouth,beverage
1214,Amalfi lemon,citrus
1215,Osmanthus,floral
1216,Calamus,green
1217,Apple leaf,fruit
1218,Cassis,fruit
1219,Pimento,spicy
1220,Sweet almond,fruit
1221,Grenadine,beverage
1222,Lotus leaf,green
1223,Pollen,synthetic
1224,Champagne,beverage
1225,Pink tulip,floral
1226,Banana leaf,green
1227,Celery,green
1228,Cedar,woody
1229,White almond,fruit
1230,Amber xtreme,animal
1231,Somalian opoponax,balsamic
1232,Peony,floral
1233,Nasturcia,floral
1234,Cactus juice,beverage
1235,Eau de vie,beverage
1236,Safflower,floral
1237,Indonesian nutmeg,spicy
1238,Ambergris,animal
1239,Petitgrain,citrus
1240,Milk mousse,sweet
1241,Black violet,floral
1242,Olive blossom,floral
1243,Palm tree,woody
1244,Turmeric,spicy
1245,Reed,green
1246,Leatherwood,floral
1247,Wild strawberry leaf,fruit
1248,Allspice,spicy
1249,Grass,green
1250,Kaffir lime,citrus
1251,Frosted apple,sweet
1252,Chestnut,fruit
1253,Frosted melon,fruit
1254,Borage,green
1255,Ambrette (musk mallow),animal
1256,Orange honey,sweet
1257,Vetyver,green
1258,Coranol,synthetic
1259,Hoary stock,floral
1260,French pastries,sweet
1261,Bellini,beverage
1262,Wrightia,floral
1263,White tabacco,white_floral
1264,Tuscan iris,floral
1265,Red sandalwood,woody
1266,Mirabilis,floral
1267,Blackcurrant syrup,sweet
1268,Black rose,floral
1269,Japanese citruses,citrus
1270,Watery cyclamen,floral
1271,Cherry,fruit
1272,Frosting [glacé],sweet
1273,Black locust  honey,sweet
1274,Iris flower,white_floral
1275,White pear,fruit
1276,Italian orange,citrus
1277,Asparagus,green
1278,Monarda,floral
1279,Indonesian myrrh,balsamic
1280,Cinnamon,spicy
1281,Hawthorn,floral
1282,Sweet pepper,spicy
1283,Indian pepper,spicy
1284,Californian gardenia,white_floral
1285,Liquor,beverage
1286,Lavender extract,floral
1287,Rose geranium,floral
1288,Mexican vanilla,spicy
1289,Moroccan incense,balsamic
1290,Hatkora lemon,citrus
1291,Green mango,fruit
1292,Ho wood,woody
1293,Egyptian jasmine,white_floral
1294,Lamduan flower,floral
1295,Bitter orange,citrus
1296,Almond tree,woody
1297,Heather,floral
1298,Cardamom,spicy
1299,Dark chocolate,sweet
1300,Pinot noir grapes,fruit
1301,Myrrh oil,balsamic
1302,White lily,white_floral
1303,Coral amber,animal
1304,Cherry extract,fruit
1305,Wax plant,floral
1306,Cupuacu,fruit
1307,Orris root,floral
1308,Balsamic vinegar,balsamic
1309,Lily,white_floral
1310,Kir royal,beverage
1311,Soursop,fruit
1312,Clearwood,woody
1313,Bulgarian light tobacco,green
1314,Wild lavender,floral
1315,Jasmine leaf,white_floral
1316,False jasmine,white_floral
1317,Island musk,animal
1318,Jasmine sambac,white_floral
1319,Israeli basil,green
1320,Pansy,floral
1321,Basil leaf,green
1322,Oak,woody
1323,Chinese pink peony,floral
1324,Hina,synthetic
1325,Himalayan geranium,floral
1326,Talc,synthetic
1327,Cosmopolitan cocktail,beverage
1328,Basil,green
1329,Orange pepper,spicy
1330,Sainfoins,floral
1331,Patchouli leaf,woody
1332,Green coconut,fruit
1333,Brazilian rosewood,woody
1334,Nettle,green
1335,Red algae,green
1336,Blue hyacinth,floral
1337,Turkish rose,floral
1338,Herbal notes,green
1339,Mace,spicy
1340,Black locust honey,sweet
1341,Pink jasmine,floral
1342,Mountain air,synthetic
1343,Opoponax,balsamic
1344,Asphalt,synthetic
1345,Elemi resin,balsamic
1346,Piña colada,beverage
1347,Paradisone,synthetic
1348,Rhubarb,fruit
1349,Red lily,floral
1350,Hinoki incense,balsamic
1351,Masala chai,beverage
1352,Italian mandarin,citrus
1353,Butterfly orchid,floral
1354,Darjeeling tea,green
1355,Peach,fruit
1356,Milk chocolate,sweet
1357,Yuzu,citrus
1358,Bourbon pepper,spicy
1359,Sequoia,woody
1360,Sour cherry,fruit
1361,Cappuccino,beverage
1362,Tangerine blossom,white_floral
1363,Columbian coffee,spicy
1364,Tomato flower,fruit
1365,Star jasmine,white_floral
1366,Ginseng,green
1367,Lime (linden) blossom,floral
1368,Italian violet,floral
1369,Burnt match,synthetic
1370,Madagascar cloves,spicy
1371,Mulberry,fruit
1372,Oriental woodsy notes,woody
1373,Spruce,woody
1374,Myrhh,balsamic
1375,Absinthe,beverage
1376,Moroccan mimosa,floral
1377,Black pepper,spicy
1378,White wine,beverage
1379,Peach blossom,floral
1380,Coton candy,sweet
1381,Malva,floral
1382,Candy apple,sweet
1383,Japanese orange,citrus
1384,Lupin,floral
1385,Mango,fruit
1386,Chocolate,sweet
1387,Arbutus (madrona,woody
1388,Singapore patchouli,woody
1389,Italian tangerine,citrus
1390,Camphor,synthetic
1391,Indonesian patchouli leaf,woody
1392,Iran galbanum,green
1393,Karo-korund,white_floral
1394,Yellow poppy,floral
1395,Butter,sweet
1396,Whiskey,beverage
1397,Celery seeds,green
1398,Clary sage,green
1399,Chinese orange,citrus
1400,Taif rose,floral
1401,Ambergris,animal
1402,Goji berries,fruit
1403,Pitanga,fruit
1404,Tolu balsam,animal
1405,Industrial glue,synthetic
1406,Bay essence,green
1407,Rice flower,white_floral
1408,Burdock,green
1409,Japanese plum,fruit
1410,Rose thorn,green
1411,Bbq,animal
1412,Jeans,synthetic
1413,Moroccan and indian jasmine,white_floral
1414,Pink freesia,floral
1415,Cherry blossom,floral
